Module	Section	Sample Name	Source
Snippy	snippy	multiqc	/home/asifsiddque/Desktop/covid-19/outputs/pipeline_temp/tmp2jnt2302/multiqc.log
Salmon	all_sections	SRR21170614	/home/asifsiddque/Desktop/covid-19/outputs/salmon_out/SRR21170614/libParams/flenDist.txt
Salmon	all_sections	SRR21170616	/home/asifsiddque/Desktop/covid-19/outputs/salmon_out/SRR21170616/libParams/flenDist.txt
Salmon	all_sections	SRR21170617	/home/asifsiddque/Desktop/covid-19/outputs/salmon_out/SRR21170617/libParams/flenDist.txt
Salmon	all_sections	SRR21170615	/home/asifsiddque/Desktop/covid-19/outputs/salmon_out/SRR21170615/libParams/flenDist.txt
Salmon	all_sections	SRR21170618	/home/asifsiddque/Desktop/covid-19/outputs/salmon_out/SRR21170618/libParams/flenDist.txt
Salmon	all_sections	SRR21170613	/home/asifsiddque/Desktop/covid-19/outputs/salmon_out/SRR21170613/libParams/flenDist.txt
FastQC	all_sections	SRR21170613_1	/home/asifsiddque/Desktop/covid-19/outputs/qc/fastqc/SRR21170613_1_fastqc.zip
FastQC	all_sections	SRR21170613_2	/home/asifsiddque/Desktop/covid-19/outputs/qc/fastqc/SRR21170613_2_fastqc.zip
FastQC	all_sections	SRR21170614_1	/home/asifsiddque/Desktop/covid-19/outputs/qc/fastqc/SRR21170614_1_fastqc.zip
FastQC	all_sections	SRR21170614_2	/home/asifsiddque/Desktop/covid-19/outputs/qc/fastqc/SRR21170614_2_fastqc.zip
FastQC	all_sections	SRR21170615_1	/home/asifsiddque/Desktop/covid-19/outputs/qc/fastqc/SRR21170615_1_fastqc.zip
FastQC	all_sections	SRR21170615_2	/home/asifsiddque/Desktop/covid-19/outputs/qc/fastqc/SRR21170615_2_fastqc.zip
FastQC	all_sections	SRR21170616_1	/home/asifsiddque/Desktop/covid-19/outputs/qc/fastqc/SRR21170616_1_fastqc.zip
FastQC	all_sections	SRR21170616_2	/home/asifsiddque/Desktop/covid-19/outputs/qc/fastqc/SRR21170616_2_fastqc.zip
FastQC	all_sections	SRR21170617_1	/home/asifsiddque/Desktop/covid-19/outputs/qc/fastqc/SRR21170617_1_fastqc.zip
FastQC	all_sections	SRR21170617_2	/home/asifsiddque/Desktop/covid-19/outputs/qc/fastqc/SRR21170617_2_fastqc.zip
FastQC	all_sections	SRR21170618_1	/home/asifsiddque/Desktop/covid-19/outputs/qc/fastqc/SRR21170618_1_fastqc.zip
FastQC	all_sections	SRR21170618_2	/home/asifsiddque/Desktop/covid-19/outputs/qc/fastqc/SRR21170618_2_fastqc.zip
