Module	Section	Sample Name	Source
FastQC	all_sections	SRR27961772_1	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961772_1_fastqc.zip
FastQC	all_sections	SRR27961772_2	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961772_2_fastqc.zip
FastQC	all_sections	SRR27961773_1	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961773_1_fastqc.zip
FastQC	all_sections	SRR27961773_2	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961773_2_fastqc.zip
FastQC	all_sections	SRR27961774_1	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961774_1_fastqc.zip
FastQC	all_sections	SRR27961774_2	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961774_2_fastqc.zip
FastQC	all_sections	SRR27961775_1	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961775_1_fastqc.zip
FastQC	all_sections	SRR27961775_2	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961775_2_fastqc.zip
FastQC	all_sections	SRR27961776_1	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961776_1_fastqc.zip
FastQC	all_sections	SRR27961776_2	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961776_2_fastqc.zip
FastQC	all_sections	SRR27961777_1	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961777_1_fastqc.zip
FastQC	all_sections	SRR27961777_2	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961777_2_fastqc.zip
FastQC	all_sections	SRR27961778_1	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961778_1_fastqc.zip
FastQC	all_sections	SRR27961778_2	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961778_2_fastqc.zip
FastQC	all_sections	SRR27961779_1	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961779_1_fastqc.zip
FastQC	all_sections	SRR27961779_2	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961779_2_fastqc.zip
FastQC	all_sections	SRR27961780_1	/mnt/e/salmon-rnaseq/outputs/qc/SRR27961780_1_fastqc.zip
