Module	Section	Sample Name	Source
FastQC	all_sections	SRR20079519_1	/content/drive/MyDrive/QC_Results/SRR20079519_1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR20079519_2	/content/drive/MyDrive/QC_Results/SRR20079519_2_fastqc/fastqc_data.txt
FastQC	all_sections	SRR20079520_1	/content/drive/MyDrive/QC_Results/SRR20079520_1_fastqc.zip
FastQC	all_sections	SRR20079520_2	/content/drive/MyDrive/QC_Results/SRR20079520_2_fastqc.zip
FastQC	all_sections	SRR20079521_1	/content/drive/MyDrive/QC_Results/SRR20079521_1_fastqc.zip
FastQC	all_sections	SRR20079521_2	/content/drive/MyDrive/QC_Results/SRR20079521_2_fastqc.zip
FastQC	all_sections	SRR20079522_1	/content/drive/MyDrive/QC_Results/SRR20079522_1_fastqc.zip
FastQC	all_sections	SRR20079522_2	/content/drive/MyDrive/QC_Results/SRR20079522_2_fastqc.zip
FastQC	all_sections	SRR20079523_1	/content/drive/MyDrive/QC_Results/SRR20079523_1_fastqc.zip
FastQC	all_sections	SRR20079523_2	/content/drive/MyDrive/QC_Results/SRR20079523_2_fastqc.zip
FastQC	all_sections	SRR20079524_1	/content/drive/MyDrive/QC_Results/SRR20079524_1_fastqc.zip
FastQC	all_sections	SRR20079524_2	/content/drive/MyDrive/QC_Results/SRR20079524_2_fastqc.zip
FastQC	all_sections	SRR20079525_1	/content/drive/MyDrive/QC_Results/SRR20079525_1_fastqc.zip
FastQC	all_sections	SRR20079525_2	/content/drive/MyDrive/QC_Results/SRR20079525_2_fastqc.zip
FastQC	all_sections	SRR20079526_1	/content/drive/MyDrive/QC_Results/SRR20079526_1_fastqc.zip
FastQC	all_sections	SRR20079526_2	/content/drive/MyDrive/QC_Results/SRR20079526_2_fastqc.zip
FastQC	all_sections	SRR20079527_1	/content/drive/MyDrive/QC_Results/SRR20079527_1_fastqc.zip
FastQC	all_sections	SRR20079527_2	/content/drive/MyDrive/QC_Results/SRR20079527_2_fastqc.zip
FastQC	all_sections	SRR20079528_1	/content/drive/MyDrive/QC_Results/SRR20079528_1_fastqc.zip
FastQC	all_sections	SRR20079528_2	/content/drive/MyDrive/QC_Results/SRR20079528_2_fastqc.zip
FastQC	all_sections	SRR20079529_1	/content/drive/MyDrive/QC_Results/SRR20079529_1_fastqc.zip
FastQC	all_sections	SRR20079529_2	/content/drive/MyDrive/QC_Results/SRR20079529_2_fastqc.zip
FastQC	all_sections	SRR20079530_1	/content/drive/MyDrive/QC_Results/SRR20079530_1_fastqc.zip
FastQC	all_sections	SRR20079530_2	/content/drive/MyDrive/QC_Results/SRR20079530_2_fastqc.zip
FastQC	all_sections	SRR20079531_1	/content/drive/MyDrive/QC_Results/SRR20079531_1_fastqc.zip
FastQC	all_sections	SRR20079531_2	/content/drive/MyDrive/QC_Results/SRR20079531_2_fastqc.zip
FastQC	all_sections	SRR20079532_1	/content/drive/MyDrive/QC_Results/SRR20079532_1_fastqc.zip
FastQC	all_sections	SRR20079532_2	/content/drive/MyDrive/QC_Results/SRR20079532_2_fastqc.zip
FastQC	all_sections	SRR20079533_1	/content/drive/MyDrive/QC_Results/SRR20079533_1_fastqc.zip
FastQC	all_sections	SRR20079533_2	/content/drive/MyDrive/QC_Results/SRR20079533_2_fastqc.zip
FastQC	all_sections	SRR20079534_1	/content/drive/MyDrive/QC_Results/SRR20079534_1_fastqc.zip
FastQC	all_sections	SRR20079534_2	/content/drive/MyDrive/QC_Results/SRR20079534_2_fastqc.zip
FastQC	all_sections	SRR20079535_1	/content/drive/MyDrive/QC_Results/SRR20079535_1_fastqc.zip
FastQC	all_sections	SRR20079535_2	/content/drive/MyDrive/QC_Results/SRR20079535_2_fastqc.zip
FastQC	all_sections	SRR20079536_1	/content/drive/MyDrive/QC_Results/SRR20079536_1_fastqc.zip
FastQC	all_sections	SRR20079536_2	/content/drive/MyDrive/QC_Results/SRR20079536_2_fastqc.zip
FastQC	all_sections	SRR20079537_1	/content/drive/MyDrive/QC_Results/SRR20079537_1_fastqc.zip
FastQC	all_sections	SRR20079537_2	/content/drive/MyDrive/QC_Results/SRR20079537_2_fastqc.zip
FastQC	all_sections	SRR20079538_1	/content/drive/MyDrive/QC_Results/SRR20079538_1_fastqc.zip
FastQC	all_sections	SRR20079538_2	/content/drive/MyDrive/QC_Results/SRR20079538_2_fastqc.zip
FastQC	all_sections	SRR20079539_1	/content/drive/MyDrive/QC_Results/SRR20079539_1_fastqc.zip
FastQC	all_sections	SRR20079539_2	/content/drive/MyDrive/QC_Results/SRR20079539_2_fastqc.zip
FastQC	all_sections	SRR20079540_1	/content/drive/MyDrive/QC_Results/SRR20079540_1_fastqc.zip
FastQC	all_sections	SRR20079540_2	/content/drive/MyDrive/QC_Results/SRR20079540_2_fastqc.zip
FastQC	all_sections	SRR20079541_1	/content/drive/MyDrive/QC_Results/SRR20079541_1_fastqc.zip
FastQC	all_sections	SRR20079541_2	/content/drive/MyDrive/QC_Results/SRR20079541_2_fastqc.zip
FastQC	all_sections	SRR20079542_1	/content/drive/MyDrive/QC_Results/SRR20079542_1_fastqc.zip
FastQC	all_sections	SRR20079542_2	/content/drive/MyDrive/QC_Results/SRR20079542_2_fastqc.zip
FastQC	all_sections	SRR20079543_1	/content/drive/MyDrive/QC_Results/SRR20079543_1_fastqc.zip
FastQC	all_sections	SRR20079543_2	/content/drive/MyDrive/QC_Results/SRR20079543_2_fastqc.zip
FastQC	all_sections	SRR20079516_1	/content/drive/MyDrive/QC_Results/SRR20079516_1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR20079516_2	/content/drive/MyDrive/QC_Results/SRR20079516_2_fastqc/fastqc_data.txt
FastQC	all_sections	SRR20079517_1	/content/drive/MyDrive/QC_Results/SRR20079517_1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR20079517_2	/content/drive/MyDrive/QC_Results/SRR20079517_2_fastqc/fastqc_data.txt
FastQC	all_sections	SRR20079518_1	/content/drive/MyDrive/QC_Results/SRR20079518_1_fastqc/fastqc_data.txt
FastQC	all_sections	SRR20079518_2	/content/drive/MyDrive/QC_Results/SRR20079518_2_fastqc/fastqc_data.txt
Snippy	snippy	multiqc	/content/drive/MyDrive/QC_Results/multiqc_ALL_34_SAMPLES_data/multiqc.log
