Module	Section	Sample Name	Source
FastQC	all_sections	DRR456169_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456169_1_fastqc.zip
FastQC	all_sections	DRR456169_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456169_2_fastqc.zip
FastQC	all_sections	DRR456170_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456170_1_fastqc.zip
FastQC	all_sections	DRR456170_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456170_2_fastqc.zip
FastQC	all_sections	DRR456171_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456171_1_fastqc.zip
FastQC	all_sections	DRR456171_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456171_2_fastqc.zip
FastQC	all_sections	DRR456172_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456172_1_fastqc.zip
FastQC	all_sections	DRR456172_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456172_2_fastqc.zip
FastQC	all_sections	DRR456173_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456173_1_fastqc.zip
FastQC	all_sections	DRR456173_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456173_2_fastqc.zip
FastQC	all_sections	DRR456174_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456174_1_fastqc.zip
FastQC	all_sections	DRR456174_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456174_2_fastqc.zip
FastQC	all_sections	DRR456175_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456175_1_fastqc.zip
FastQC	all_sections	DRR456175_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456175_2_fastqc.zip
FastQC	all_sections	DRR456176_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456176_1_fastqc.zip
FastQC	all_sections	DRR456176_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456176_2_fastqc.zip
FastQC	all_sections	DRR456177_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456177_1_fastqc.zip
FastQC	all_sections	DRR456177_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456177_2_fastqc.zip
FastQC	all_sections	DRR456178_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456178_1_fastqc.zip
FastQC	all_sections	DRR456178_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456178_2_fastqc.zip
FastQC	all_sections	DRR456179_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456179_1_fastqc.zip
FastQC	all_sections	DRR456179_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456179_2_fastqc.zip
FastQC	all_sections	DRR456180_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456180_1_fastqc.zip
FastQC	all_sections	DRR456180_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456180_2_fastqc.zip
FastQC	all_sections	DRR456181_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456181_1_fastqc.zip
FastQC	all_sections	DRR456181_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456181_2_fastqc.zip
FastQC	all_sections	DRR456182_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456182_1_fastqc.zip
FastQC	all_sections	DRR456182_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456182_2_fastqc.zip
FastQC	all_sections	DRR456183_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456183_1_fastqc.zip
FastQC	all_sections	DRR456183_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456183_2_fastqc.zip
FastQC	all_sections	DRR456184_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456184_1_fastqc.zip
FastQC	all_sections	DRR456184_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456184_2_fastqc.zip
FastQC	all_sections	DRR456185_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456185_1_fastqc.zip
FastQC	all_sections	DRR456185_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456185_2_fastqc.zip
FastQC	all_sections	DRR456186_1	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456186_1_fastqc.zip
FastQC	all_sections	DRR456186_2	/home/asif/deepbio_projects/rnaseq/salmon-rnaseq/outputs/qc/DRR456186_2_fastqc.zip
